ISSN,titulo.x,Estrato_ca,titulo.y,Estrato_plan
0301-4797,JOURNAL OF ENVIRONMENTAL MANAGEMENT,A1,JOURNAL OF ENVIRONMENTAL MANAGEMENT,A1
1525-755X,JOURNAL OF HYDROMETEOROLOGY (PRINT),A1,JOURNAL OF HYDROMETEOROLOGY (PRINT),A2
0743-0167,JOURNAL OF RURAL STUDIES,A2,JOURNAL OF RURAL STUDIES,A1
0022-5142,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,A2,JOURNAL OF THE SCIENCE OF FOOD AND AGRICULTURE,A2
1099-3460,JOURNAL OF URBAN HEALTH,A1,JOURNAL OF URBAN HEALTH,A1
0733-9488,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,A2,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,A1
0140-6736,LANCET (BRITISH EDITION),A1,LANCET (BRITISH EDITION),A1
0264-8377,LAND USE POLICY,A1,LAND USE POLICY,A1
1475-2875,MALARIA JOURNAL (ONLINE),A1,MALARIA JOURNAL (ONLINE),A1
0025-326X,MARINE POLLUTION BULLETIN.,A1,MARINE POLLUTION BULLETIN.,A2
2041-1723,NATURE COMMUNICATIONS,A1,NATURE COMMUNICATIONS,A1
0303-1829,NOTAS DE POBLACIÓN (IMPRESA),A2,NOTAS DE POBLACIÓN (IMPRESA),A1
0031-0239,PALAEONTOLOGY (LONDON),A2,PALAEONTOLOGY (LONDON),A2
1432-1955,PARASITOLOGY RESEARCH (1987. INTERNET),A2,PARASITOLOGY RESEARCH (1987. INTERNET),A2
0962-8436,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,A1,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,A2
0080-4622,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON. BIOLOGICAL SCIENCES,A1,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY OF LONDON. BIOLOGICAL SCIENCES,A2
1935-2735,PLOS NEGLECTED TROPICAL DISEASES (ONLINE),A1,PLOS NEGLECTED TROPICAL DISEASES (ONLINE),A1
1932-6203,PLOS ONE,A1,PLOS ONE,A2
1932-6203,PLOS ONE,A1,PLOS ONE,A2
1932-6203,PLOS ONE,A1,PLOS ONE,A2
1932-6203,PLOS ONE,A1,PLOS ONE,A2
1932-6203,PLOS ONE,A1,PLOS ONE,A2
1932-6203,PLOS ONE,A1,PLOS ONE,A2
1932-6203,PLOS ONE,A1,PLOS ONE,A2
1932-6203,PLOS ONE,A1,PLOS ONE,A2
0100-6762,REVISTA ÁRVORE,A2,REVISTA ÁRVORE (IMPRESSO),A2
0100-6762,REVISTA ÁRVORE (IMPRESSO),A2,REVISTA ÁRVORE (IMPRESSO),A2
1806-9088,REVISTA ÁRVORE (ONLINE),A2,REVISTA ÁRVORE (ONLINE),A2
1807-1929,REVISTA BRASILEIRA DE ENGENHARIA AGRÍCOLA E AMBIENTAL (ONLINE),A2,REVISTA BRASILEIRA DE ENGENHARIA AGRÍCOLA E AMBIENTAL (ONLINE),A2
0034-8910,REVISTA DE SAÚDE PÚBLICA (IMPRESSO),A2,REVISTA DE SAÚDE PÚBLICA (USP. IMPRESSO),A1
1518-8787,REVISTA DE SAÚDE PÚBLICA (ONLINE),A2,REVISTA DE SAÚDE PÚBLICA (ONLINE),A1
0034-8910,REVISTA DE SAÚDE PÚBLICA (USP. IMPRESSO),A2,REVISTA DE SAÚDE PÚBLICA (USP. IMPRESSO),A1
0104-1290,SAÚDE E SOCIEDADE,A2,SAÚDE E SOCIEDADE (USP. IMPRESSO),A2
1984-0470,SAÚDE E SOCIEDADE (ONLINE),A2,SAÚDE E SOCIEDADE (ONLINE),A2
0104-1290,SAÚDE E SOCIEDADE (USP. IMPRESSO),A2,SAÚDE E SOCIEDADE (USP. IMPRESSO),A2
0036-8075,SCIENCE,A1,"SCIENCE (NEW YORK, N.Y.)",A1
0036-8075,"SCIENCE (NEW YORK, N.Y.)",A1,"SCIENCE (NEW YORK, N.Y.)",A1
0304-4238,SCIENTIA HORTICULTURAE,A2,SCIENTIA HORTICULTURAE,A2
1862-4065,SUSTAINABILITY SCIENCE,A1,SUSTAINABILITY SCIENCE,A1
0177-798X,THEORETICAL AND APPLIED CLIMATOLOGY,A2,THEORETICAL AND APPLIED CLIMATOLOGY,A2
1434-4483,THEORETICAL AND APPLIED CLIMATOLOGY,A2,THEORETICAL AND APPLIED CLIMATOLOGY,A2
0931-1890,TREES (BERLIN. PRINT),A2,TREES (BERLIN. PRINT),A2
1573-062X,URBAN WATER JOURNAL,A2,URBAN WATER JOURNAL,A1
0304-4017,VETERINARY PARASITOLOGY (PRINT),A2,VETERINARY PARASITOLOGY (PRINT),A2
0049-6979,"WATER, AIR AND SOIL POLLUTION",A2,"WATER, AIR AND SOIL POLLUTION (PRINT)",A1
0049-6979,"WATER, AIR AND SOIL POLLUTION (PRINT)",A2,"WATER, AIR AND SOIL POLLUTION (PRINT)",A1
0920-4741,WATER RESOURCES MANAGEMENT,A2,WATER RESOURCES MANAGEMENT,A1
0043-1397,WATER RESOURCES RESEARCH,A1,WATER RESOURCES RESEARCH,A1
0305-750X,WORLD DEVELOPMENT,A1,WORLD DEVELOPMENT,A1
